planning_horizon,technology,parameter,value,unit,source,further description
all,solar,marginal_cost,0.01,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,onwind,marginal_cost,0.015,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,offwind,marginal_cost,0.015,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,hydro,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,H2,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,electrolysis,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,fuel cell,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,battery,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,battery inverter,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,home battery storage,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,water tank charger,marginal_cost,0.03,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,central water pit charger,marginal_cost,0.025,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,coes battery,investment,17699,EUR/MWh,Noon Energy (duration = 200 h),"Raw data: 20 $2025/kWh_discharge
- From $2025 (original data) to €2025 (model currency)  multiplying by 1/1.13 ~ 0.885 (Source: https://tassidicambio.bancaditalia.it/terzevalute-wf-ui-web/averageRates)"
all,coes battery,FOM,4.8,%/year,Noon Energy (duration = 200 h),"Raw data: 95 $2025/kW_discharge
- Derived dividing absolute FOM by (CAPEX-Energy * Duration)"
all,coes battery,lifetime,30,years,Noon Energy (duration = 200 h),
all,coes battery discharge,efficiency,0.75,per unit,Noon Energy (duration = 200 h),
all,coes battery discharge,lifetime,30,years,Noon Energy (duration = 200 h),
all,coes battery charge,efficiency,0.85,per unit,Noon Energy (duration = 200 h),
all,coes battery charge,lifetime,30,years,Noon Energy (duration = 200 h),
